invoice_id,line_id,jurisdiction,category,counterparty_type,amount,vendor_master_tax_code,correct_tax_code,note,derived_rate_pct,status,reason
INV-1003,3,India,Standard,company,69119.81,,India-Standard,Domestic vendor — office supplies,18,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1006,6,India,Nil-rated essential,company,223098.8,US-NY-State_base_rate,India-Nil-rated_essential,Domestic vendor — staff canteen food grains,0,EXCEPTION,Vendor master code 'US-NY-State_base_rate' does not match derived code 'India-Nil-rated_essential' — likely stale code carried over from a different jurisdiction/category
INV-1009,9,India,Reduced,company,58548.89,,India-Reduced,Domestic vendor — footwear under revised slab,5,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1012,12,India,Luxury/sin,company,175480.58,,India-Luxury/sin,"Fleet vehicle purchase, >1500cc diesel",40,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1013,13,India,194C - Contractor (individual/HUF),individual,112577.66,India-194C,India-194C,Freelance contractor — office fit-out,1,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1014,14,India,194C - Contractor (individual/HUF),individual,69908.58,India-194C,India-194C,Freelance contractor — office fit-out,1,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1015,15,India,194C - Contractor (individual/HUF),individual,217390.43,US-IL-State_base_rate,India-194C,Freelance contractor — office fit-out,1,EXCEPTION,Vendor master code 'US-IL-State_base_rate' does not match derived code 'India-194C' — likely stale code carried over from a different jurisdiction/category
INV-1016,16,India,194C - Contractor (other entities),company,85392.5,India-194C,India-194C,Facilities contractor — annual AMC,2,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1017,17,India,194C - Contractor (other entities),company,39292.14,India-194C,India-194C,Facilities contractor — annual AMC,2,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1018,18,India,194C - Contractor (other entities),company,239324.66,,India-194C,Facilities contractor — annual AMC,2,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1019,19,India,194J - Professional fees,individual,23640.09,India-194J,India-194J,External legal counsel retainer,10,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1020,20,India,194J - Professional fees,individual,24630.74,India-194J,India-194J,External legal counsel retainer,10,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1021,21,India,194J - Professional fees,individual,211949.84,EU-NL-Standard,India-194J,External legal counsel retainer,10,EXCEPTION,Vendor master code 'EU-NL-Standard' does not match derived code 'India-194J' — likely stale code carried over from a different jurisdiction/category
INV-1022,22,India,194J - Technical services,company,201878.5,India-194J,India-194J,IT technical support services,2,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1023,23,India,194J - Technical services,company,182568.08,India-194J,India-194J,IT technical support services,2,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1024,24,India,194J - Technical services,company,134288.91,,India-194J,IT technical support services,2,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1025,25,India,194Q - Purchase of goods,company,138234.14,India-194Q,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L",0.1,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1026,26,India,194Q - Purchase of goods,company,207436.46,India-194Q,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L",0.1,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1027,27,India,194Q - Purchase of goods,company,154820.68,,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L",0.1,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1028,28,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,176290.67,India-195,India-195,"Royalty payment to non-resident licensor, no TRC on file",20,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1029,29,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,11933.18,India-195,India-195,"Royalty payment to non-resident licensor, no TRC on file",20,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1030,30,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,57360.62,,India-195,"Royalty payment to non-resident licensor, no TRC on file",20,EXCEPTION,Vendor master tax code is blank — stale/never-set code
