invoice_id,line_id,jurisdiction,category,counterparty_type,amount,vendor_master_tax_code,correct_tax_code,note
INV-1001,1,India,Standard,company,160036.99,India-Standard,India-Standard,Domestic vendor — office supplies
INV-1002,2,India,Standard,company,6740.18,India-Standard,India-Standard,Domestic vendor — office supplies
INV-1003,3,India,Standard,company,69119.81,,India-Standard,Domestic vendor — office supplies
INV-1004,4,India,Nil-rated essential,company,184249.57,India-Nil-rated_essential,India-Nil-rated_essential,Domestic vendor — staff canteen food grains
INV-1005,5,India,Nil-rated essential,company,169336.52,India-Nil-rated_essential,India-Nil-rated_essential,Domestic vendor — staff canteen food grains
INV-1006,6,India,Nil-rated essential,company,223098.8,US-NY-State_base_rate,India-Nil-rated_essential,Domestic vendor — staff canteen food grains
INV-1007,7,India,Reduced,company,8429.78,India-Reduced,India-Reduced,Domestic vendor — footwear under revised slab
INV-1008,8,India,Reduced,company,23876.96,India-Reduced,India-Reduced,Domestic vendor — footwear under revised slab
INV-1009,9,India,Reduced,company,58548.89,,India-Reduced,Domestic vendor — footwear under revised slab
INV-1010,10,India,Luxury/sin,company,140530.64,India-Luxury/sin,India-Luxury/sin,"Fleet vehicle purchase, >1500cc diesel"
INV-1011,11,India,Luxury/sin,company,179146.89,India-Luxury/sin,India-Luxury/sin,"Fleet vehicle purchase, >1500cc diesel"
INV-1012,12,India,Luxury/sin,company,175480.58,,India-Luxury/sin,"Fleet vehicle purchase, >1500cc diesel"
INV-1013,13,India,194C - Contractor (individual/HUF),individual,112577.66,India-194C,India-194C,Freelance contractor — office fit-out
INV-1014,14,India,194C - Contractor (individual/HUF),individual,69908.58,India-194C,India-194C,Freelance contractor — office fit-out
INV-1015,15,India,194C - Contractor (individual/HUF),individual,217390.43,US-IL-State_base_rate,India-194C,Freelance contractor — office fit-out
INV-1016,16,India,194C - Contractor (other entities),company,85392.5,India-194C,India-194C,Facilities contractor — annual AMC
INV-1017,17,India,194C - Contractor (other entities),company,39292.14,India-194C,India-194C,Facilities contractor — annual AMC
INV-1018,18,India,194C - Contractor (other entities),company,239324.66,,India-194C,Facilities contractor — annual AMC
INV-1019,19,India,194J - Professional fees,individual,23640.09,India-194J,India-194J,External legal counsel retainer
INV-1020,20,India,194J - Professional fees,individual,24630.74,India-194J,India-194J,External legal counsel retainer
INV-1021,21,India,194J - Professional fees,individual,211949.84,EU-NL-Standard,India-194J,External legal counsel retainer
INV-1022,22,India,194J - Technical services,company,201878.5,India-194J,India-194J,IT technical support services
INV-1023,23,India,194J - Technical services,company,182568.08,India-194J,India-194J,IT technical support services
INV-1024,24,India,194J - Technical services,company,134288.91,,India-194J,IT technical support services
INV-1025,25,India,194Q - Purchase of goods,company,138234.14,India-194Q,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L"
INV-1026,26,India,194Q - Purchase of goods,company,207436.46,India-194Q,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L"
INV-1027,27,India,194Q - Purchase of goods,company,154820.68,,India-194Q,"Bulk stationery purchase, seller turnover >INR 50L"
INV-1028,28,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,176290.67,India-195,India-195,"Royalty payment to non-resident licensor, no TRC on file"
